Data;Taxa de câmbio - R$ / US$ - comercial - compra - fim período - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERCF12;
1982.08;7,00763636363636E-11;
1982.09;7,49818181818182E-11;
1982.10;8,02290909090909E-11;
1982.11;8,58436363636364E-11;
1982.12;9,14218181818182E-11;
1983.01;9,96036363636364E-11;
1983.02;1,38014545454545E-10;
1983.03;1,51076363636364E-10;
1983.04;1,64607272727273E-10;
1983.05;1,786E-10;
1983.06;1,96461818181818E-10;
1983.07;2,21410909090909E-10;
1983.08;2,42909090909091E-10;
1983.09;2,67272727272727E-10;
1983.10;3,04727272727273E-10;
1983.11;3,30545454545455E-10;
1983.12;3,56E-10;
1984.01;3,90909090909091E-10;
1984.02;4,38909090909091E-10;
1984.03;4,82909090909091E-10;
1984.04;5,25818181818182E-10;
1984.05;5,72363636363636E-10;
1984.06;6,25090909090909E-10;
1984.07;6,89454545454545E-10;
1984.08;7,62545454545455E-10;
1984.09;8,42545454545455E-10;
1984.10;9,48727272727273E-10;
1984.11;1,04254545454545E-09;
1984.12;1,152E-09;
1985.01;1,29709090909091E-09;
1985.02;1,42945454545455E-09;
1985.03;1,61090909090909E-09;
1985.04;1,80363636363636E-09;
1985.05;1,98545454545455E-09;
1985.06;2,16727272727273E-09;
1985.07;2,33454545454545E-09;
1985.08;2,52727272727273E-09;
1985.09;2,83090909090909E-09;
1985.10;3,09636363636364E-09;
1985.11;3,38363636363636E-09;
1985.12;3,79636363636364E-09;
1986.01;4,39818181818182E-09;
1986.02;5,00727272727273E-09;
1986.03;5,00727272727273E-09;
1986.04;5,00727272727273E-09;
1986.05;5,00727272727273E-09;
1986.06;5,00727272727273E-09;
1986.07;5,00727272727273E-09;
1986.08;5,00727272727273E-09;
1986.09;5,00727272727273E-09;
1986.10;5,09818181818182E-09;
1986.11;5,13818181818182E-09;
1986.12;5,40727272727273E-09;
1987.01;5,98545454545455E-09;
1987.02;7,16363636363636E-09;
1987.03;8,01090909090909E-09;
1987.04;9,20363636363636E-09;
1987.05;1,23018181818182E-08;
1987.06;1,56945454545455E-08;
1987.07;1,66509090909091E-08;
1987.08;1,74981818181818E-08;
1987.09;1,85563636363636E-08;
1987.10;2,02254545454545E-08;
1987.11;2,28218181818182E-08;
1987.12;2,61418181818182E-08;
1988.01;3,01781818181818E-08;
1988.02;3,564E-08;
1988.03;4,14472727272727E-08;
1988.04;4,97272727272727E-08;
1988.05;5,88654545454545E-08;
1988.06;7,04218181818182E-08;
1988.07;8,74654545454545E-08;
1988.08;1,05829090909091E-07;
1988.09;1,31334545454545E-07;
1988.10;1,67650909090909E-07;
1988.11;2,12781818181818E-07;
1988.12;2,76905454545455E-07;
1989.01;3,6E-07;
1989.02;3,6E-07;
1989.03;3,6E-07;
1989.04;3,74545454545455E-07;
1989.05;4,18181818181818E-07;
1989.06;5,49090909090909E-07;
1989.07;7,85454545454545E-07;
1989.08;1,01454545454545E-06;
1989.09;1,37454545454545E-06;
1989.10;1,89090909090909E-06;
1989.11;2,66545454545455E-06;
1989.12;4,10909090909091E-06;
1990.01;6,41454545454545E-06;
1990.02;1,10836363636364E-05;
1990.03;1,52472727272727E-05;
1990.04;1,84909090909091E-05;
1990.05;1,99927272727273E-05;
1990.06;2,20872727272727E-05;
1990.07;2,5E-05;
1990.08;2,59563636363636E-05;
1990.09;3,04545454545455E-05;
1990.10;3,85018181818182E-05;
1990.11;5,22981818181818E-05;
1990.12;6,13054545454545E-05;
1991.01;7,96981818181818E-05;
1991.02;8,10327272727273E-05;
1991.03;8,65963636363636E-05;
1991.04;9,45745454545454E-05;
1991.05;0,000103396363636364;
1991.06;0,000113363636363636;
1991.07;0,000125894545454545;
1991.08;0,000142818181818182;
1991.09;0,000169265454545455;
1991.10;0,000233287272727273;
1991.11;0,000305581818181818;
1991.12;0,000388618181818182;
1992.01;0,000479781818181818;
1992.02;0,000593;
1992.03;0,000722872727272727;
1992.04;0,000871272727272727;
1992.05;0,001036;
1992.06;0,00125330909090909;
1992.07;0,00152890909090909;
1992.08;0,00186545454545455;
1992.09;0,00232654545454545;
1992.10;0,00292145454545455;
1992.11;0,00361810909090909;
1992.12;0,00450436363636364;
1993.01;0,005716;
1993.02;0,00722072727272727;
1993.03;0,00913454545454545;
1993.04;0,0117334545454545;
1993.05;0,0151632727272727;
1993.06;0,0197581818181818;
1993.07;0,0258734545454545;
1993.08;0,0344181818181818;
1993.09;0,0465690909090909;
1993.10;0,0632709090909091;
1993.11;0,0858072727272727;
1993.12;0,11858;
1994.01;0,166781818181818;
1994.02;0,231727272727273;
1994.03;0,332121818181818;
1994.04;0,473549090909091;
1994.05;0,681909090909091;
1994.06;0,95;
1994.07;0,938;
1994.08;0,887;
1994.09;0,851;
1994.10;0,844;
1994.11;0,843;
1994.12;0,844;
1995.01;0,84;
1995.02;0,8495;
1995.03;0,894;
1995.04;0,911;
1995.05;0,904;
1995.06;0,92;
1995.07;0,934;
1995.08;0,949;
1995.09;0,952;
1995.10;0,9609;
1995.11;0,9656;
1995.12;0,9715;
1996.01;0,9776;
1996.02;0,9832;
1996.03;0,9872;
1996.04;0,9917;
1996.05;0,9976;
1996.06;1,0036;
1996.07;1,0104;
1996.08;1,0161;
1996.09;1,0207;
1996.10;1,0268;
1996.11;1,0324;
1996.12;1,0386;
1997.01;1,0453;
1997.02;1,0507;
1997.03;1,0585;
1997.04;1,063;
1997.05;1,0709;
1997.06;1,0761;
1997.07;1,0826;
1997.08;1,0908;
1997.09;1,0956;
1997.10;1,1023;
1997.11;1,109;
1997.12;1,1156;
1998.01;1,1229;
1998.02;1,1366;
1998.03;1,1366;
1998.04;1,1435;
1998.05;1,1497;
1998.06;1,1561;
1998.07;1,1626;
1998.08;1,1761;
1998.09;1,1848;
1998.10;1,1924;
1998.11;1,2004;
1998.12;1,2079;
1999.01;1,9824;
1999.02;2,064;
1999.03;1,7212;
1999.04;1,6599;
1999.05;1,7232;
1999.06;1,7687;
1999.07;1,7884;
1999.08;1,9151;
1999.09;1,9215;
1999.10;1,9522;
1999.11;1,9219;
1999.12;1,7882;
2000.01;1,8016;
2000.02;1,7677;
2000.03;1,7465;
2000.04;1,8059;
2000.05;1,8258;
2000.06;1,7992;
2000.07;1,774;
2000.08;1,8226;
2000.09;1,8429;
2000.10;1,9082;
2000.11;1,9588;
2000.12;1,9546;
2001.01;1,9703;
2001.02;2,0444;
2001.03;2,1608;
2001.04;2,1839;
2001.05;2,3592;
2001.06;2,3041;
2001.07;2,4305;
2001.08;2,5509;
2001.09;2,6705;
2001.10;2,7063;
2001.11;2,5279;
2001.12;2,3196;
2002.01;2,4175;
2002.02;2,3474;
2002.03;2,3228;
2002.04;2,3617;
2002.05;2,5212;
2002.06;2,8436;
2002.07;3,4277;
2002.08;3,0215;
2002.09;3,8941;
2002.10;3,6442;
2002.11;3,6357;
2002.12;3,5325;
2003.01;3,525;
2003.02;3,5624;
2003.03;3,3523;
2003.04;2,889;
2003.05;2,9648;
2003.06;2,8712;
2003.07;2,9647;
2003.08;2,9657;
2003.09;2,9226;
2003.10;2,8554;
2003.11;2,9486;
2003.12;2,8884;
2004.01;2,9401;
2004.02;2,913;
2004.03;2,9078;
2004.04;2,9439;
2004.05;3,1283;
2004.06;3,1067;
2004.07;3,026;
2004.08;2,933;
2004.09;2,8578;
2004.10;2,8557;
2004.11;2,7299;
2004.12;2,6536;
2005.01;2,624;
2005.02;2,5942;
2005.03;2,6654;
2005.04;2,5305;
2005.05;2,403;
2005.06;2,3496;
2005.07;2,3897;
2005.08;2,3629;
2005.09;2,2214;
2005.10;2,2535;
2005.11;2,2062;
2005.12;2,3399;
2006.01;2,2152;
2006.02;2,1347;
2006.03;2,1716;
2006.04;2,0884;
2006.05;2,2997;
2006.06;2,1635;
2006.07;2,1754;
2006.08;2,138;
2006.09;2,1734;
2006.10;2,1422;
2006.11;2,166;
2006.12;2,1372;
2007.01;2,1239;
2007.02;2,1174;
2007.03;2,0496;
2007.04;2,0331;
2007.05;1,9281;
2007.06;1,9254;
2007.07;1,8768;
2007.08;1,9612;
2007.09;1,8381;
2007.10;1,7432;
2007.11;1,7829;
2007.12;1,7705;
2008.01;1,7595;
2008.02;1,6825;
2008.03;1,7483;
2008.04;1,6864;
2008.05;1,6286;
2008.06;1,5911;
2008.07;1,5658;
2008.08;1,6336;
2008.09;1,9135;
2008.10;2,1145;
2008.11;2,3323;
2008.12;2,3362;
2009.01;2,3154;
2009.02;2,3776;
2009.03;2,3144;
2009.04;2,1775;
2009.05;1,9722;
2009.06;1,9508;
2009.07;1,8718;
2009.08;1,8856;
2009.09;1,7773;
2009.10;1,7432;
2009.11;1,7497;
2009.12;1,7404;
2010.01;1,874;
2010.02;1,8102;
2010.03;1,7802;
2010.04;1,7298;
2010.05;1,8159;
2010.06;1,8007;
2010.07;1,7564;
2010.08;1,7552;
2010.09;1,6934;
2010.10;1,7006;
2010.11;1,7153;
2010.12;1,6654;
2011.01;1,6726;
2011.02;1,6604;
2011.03;1,6279;
2011.04;1,5725;
2011.05;1,5791;
2011.06;1,5603;
2011.07;1,5555;
2011.08;1,5864;
2011.09;1,8536;
2011.10;1,6878;
2011.11;1,8102;
2011.12;1,8751;
2012.01;1,7385;
2012.02;1,7086;
2012.03;1,8215;
2012.04;1,8912;
2012.05;2,0217;
2012.06;2,0207;
2012.07;2,0494;
2012.08;2,0366;
2012.09;2,03;
2012.10;2,0308;
2012.11;2,1068;
2012.12;2,0429;
2013.01;1,9877;
2013.02;1,9749;
2013.03;2,0132;
2013.04;2,0011;
2013.05;2,1314;
2013.06;2,215;
2013.07;2,2897;
2013.08;2,3719;
2013.09;2,2294;
2013.10;2,202;
2013.11;2,3243;
2013.12;2,342;
2014.01;2,4257;
2014.02;2,3327;
2014.03;2,2624;
2014.04;2,2354;
2014.05;2,2384;
2014.06;2,2019;
2014.07;2,2668;
2014.08;2,239;
2014.09;2,4504;
2014.10;2,4436;
2014.11;2,5595;
2014.12;2,6556;
2015.01;2,6617;
2015.02;2,8777;
2015.03;3,2074;
2015.04;2,993;
2015.05;3,1781;
2015.06;3,1019;
2015.07;3,3934;
2015.08;3,6461;
2015.09;3,9722;
2015.10;3,8582;
2015.11;3,8499;
2015.12;3,9042;
2016.01;4,0422;
2016.02;3,979;
2016.03;3,5583;
2016.04;3,4502;
2016.05;3,5945;
2016.06;3,2092;
2016.07;3,2384;
2016.08;3,2397;
2016.09;3,2456;
2016.10;3,1805;
2016.11;3,3961;
2016.12;3,2585;
2017.01;3,1264;
2017.02;3,0987;
2017.03;3,1678;
2017.04;3,1978;
2017.05;3,2431;
2017.06;3,3076;
2017.07;3,1301;
2017.08;3,1465;
2017.09;3,1674;
2017.10;3,2763;
2017.11;3,261;
2017.12;3,3074;
2018.01;3,1618;
2018.02;3,2443;
2018.03;3,3232;
2018.04;3,4805;
2018.05;3,7364;
2018.06;3,8552;
2018.07;3,7543;
2018.08;4,1347;
2018.09;4,0033;
2018.10;3,7171;
2018.11;3,8627;
2018.12;3,8742;
2019.01;3,6513;
2019.02;3,7379;
2019.03;3,8961;
2019.04;3,9447;
2019.05;3,9401;
2019.06;3,8316;
2019.07;3,7643;
2019.08;4,1379;
2019.09;4,1638;
2019.10;4,0035;
2019.11;4,2234;
2019.12;4,0301;
2020.01;4,2689;
2020.02;4,4981;
2020.03;5,1981;
2020.04;5,4264;
2020.05;5,4257;
2020.06;5,4754;
2020.07;5,2027;
2020.08;5,4707;
2020.09;5,6401;
2020.10;5,7712;
2020.11;5,3311;
2020.12;5,1961;
2021.01;5,4753;
2021.02;5,5296;
2021.03;5,6967;
2021.04;5,403;
2021.05;5,2316;
2021.06;5,0016;
2021.07;5,121;
2021.08;5,1427;
2021.09;5,4388;
2021.10;5,6424;
2021.11;5,6193;
2021.12;5,5799;
2022.01;5,3568;
2022.02;5,1388;
2022.03;4,7372;
2022.04;4,9185;
2022.05;4,7283;
2022.06;5,2374;
2022.07;5,1878;
2022.08;5,1784;
2022.09;5,406;
2022.10;5,2564;
2022.11;5,2935;
2022.12;5,2171;
2023.01;5,0987;
2023.02;5,2072;
2023.03;5,0798;
2023.04;5,0001;
2023.05;5,0953;
