"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.06.2015","53.081","52.753","54.361","52.548","63,04M","0,61%"
"01.05.2015","52.761","56.230","58.575","52.761","69,37M","-6,17%"
"01.04.2015","56.229","51.186","56.965","51.186","81,12M","9,93%"
"01.03.2015","51.150","51.580","52.319","47.905","79,89M","-0,84%"
"01.02.2015","51.583","46.934","52.457","46.760","65,31M","9,97%"
"01.01.2015","46.908","50.005","50.281","46.484","77,72M","-6,20%"
"01.12.2014","50.007","54.720","54.720","45.853","69,82M","-8,62%"
"01.11.2014","54.724","54.629","57.359","50.886","67,38M","0,17%"
"01.10.2014","54.629","54.115","58.898","48.722","115,83M","0,95%"
"01.09.2014","54.116","61.295","62.305","53.536","83,75M","-11,70%"
"01.08.2014","61.288","55.827","61.443","55.239","72,75M","9,78%"
"01.07.2014","55.829","53.171","58.138","52.735","68,06M","5,01%"
"01.06.2014","53.168","51.239","55.284","51.239","53,45M","3,76%"
"01.05.2014","51.239","51.630","54.459","51.239","73,70M","-0,75%"
"01.04.2014","51.627","50.412","53.394","49.774","72,97M","2,40%"
"01.03.2014","50.415","47.092","50.418","44.905","67,63M","7,05%"
"01.02.2014","47.094","47.623","48.669","46.110","64,04M","-1,14%"
"01.01.2014","47.639","51.522","51.656","46.814","73,71M","-7,51%"
"01.12.2013","51.507","52.479","52.479","49.842","56,41M","-1,86%"
"01.11.2013","52.483","54.255","54.539","51.290","65,61M","-3,27%"
"01.10.2013","54.256","52.337","56.747","51.870","129,97M","3,66%"
"01.09.2013","52.338","50.012","55.900","50.012","125,98M","4,65%"
"01.08.2013","50.012","48.235","52.398","47.164","145,18M","3,68%"
"01.07.2013","48.235","47.458","49.669","44.107","113,30M","1,64%"
"01.06.2013","47.457","53.512","54.289","45.406","114,21M","-11,31%"
"01.05.2013","53.506","55.919","57.099","52.942","108,60M","-4,30%"
"01.04.2013","55.910","56.348","56.976","52.392","106,43M","-0,78%"
"01.03.2013","56.352","57.422","59.473","54.648","86,58M","-1,87%"
"01.02.2013","57.424","59.765","60.496","55.430","71,00M","-3,91%"
"01.01.2013","59.762","60.990","63.473","59.114","77,08M","-1,95%"
"01.12.2012","60.952","57.479","61.322","57.129","62,25M","6,05%"
"01.11.2012","57.475","57.065","59.561","55.126","62,04M","0,71%"
"01.10.2012","57.068","59.171","60.412","56.581","65,39M","-3,56%"
"01.09.2012","59.176","57.065","63.428","56.203","70,75M","3,71%"
"01.08.2012","57.062","56.091","60.209","55.239","76,30M","1,72%"
"01.07.2012","56.097","54.355","57.466","52.213","59,28M","3,21%"
"01.06.2012","54.355","54.488","57.612","52.271","62,93M","-0,25%"
"01.05.2012","54.490","61.820","62.783","53.028","77,09M","-11,86%"
"01.04.2012","61.820","64.515","65.593","60.897","54,26M","-4,17%"
"01.03.2012","64.511","65.812","68.970","64.096","55,59M","-1,98%"
"01.02.2012","65.812","63.085","66.662","63.085","52,92M","4,34%"
"01.01.2012","63.072","56.755","63.805","56.649","55,12M","11,13%"
"01.12.2011","56.754","56.876","59.576","55.298","51,41M","-0,21%"
"01.11.2011","56.875","58.300","59.616","54.537","48,81M","-2,51%"
"01.10.2011","58.338","52.319","59.902","49.433","53,85M","11,49%"
"01.09.2011","52.324","56.498","58.589","51.897","55,53M","-7,38%"
"01.08.2011","56.495","58.824","59.542","47.794","72,29M","-3,96%"
"01.07.2011","58.824","62.404","63.891","58.009","41,72M","-5,74%"
"01.06.2011","62.404","64.616","64.979","60.489","39,74M","-3,43%"
"01.05.2011","64.620","66.119","66.500","61.659","48,36M","-2,29%"
"01.04.2011","66.133","68.588","70.108","65.105","43,54M","-3,58%"
"01.03.2011","68.587","67.381","68.606","65.463","45,97M","1,79%"
"01.02.2011","67.383","66.575","68.226","64.016","48,66M","1,21%"
"01.01.2011","66.575","69.310","71.924","65.898","41,88M","-3,94%"
"01.12.2010","69.305","67.731","70.589","66.948","42,49M","2,36%"
"01.11.2010","67.705","70.686","73.103","67.103","34,13M","-4,20%"
"01.10.2010","70.673","69.438","72.140","68.847","48,43M","1,79%"
"01.09.2010","69.430","65.154","69.737","65.154","43,84M","6,58%"
"01.08.2010","65.146","67.524","68.754","63.804","38,36M","-3,51%"
"01.07.2010","67.515","60.935","67.608","60.056","34,78M","10,80%"
"01.06.2010","60.936","63.033","65.831","60.936","36,58M","-3,35%"
"01.05.2010","63.047","67.534","67.969","57.634","52,41M","-6,64%"
"01.04.2010","67.530","70.375","71.989","65.914","34,29M","-4,04%"
"01.03.2010","70.372","66.511","70.486","66.511","37,82M","5,82%"
"01.02.2010","66.503","65.402","68.120","61.341","28,14M","1,68%"
"01.01.2010","65.402","68.587","71.068","64.542","32,87M","-4,65%"
"01.12.2009","68.588","67.051","69.785","65.925","25,86M","2,30%"
"01.11.2009","67.044","61.539","68.060","60.724","30,95M","8,93%"
"01.10.2009","61.546","61.519","67.530","59.678","33,94M","0,04%"
"01.09.2009","61.518","56.489","62.017","55.339","28,07M","8,90%"
"01.08.2009","56.489","54.766","58.634","54.766","27,93M","3,15%"
"01.07.2009","54.766","51.464","55.083","48.262","29,46M","6,41%"
"01.06.2009","51.466","53.202","54.955","49.130","30,45M","-3,26%"
"01.05.2009","53.198","47.290","53.806","47.290","35,24M","12,49%"
"01.04.2009","47.290","40.918","48.126","40.256","34,55M","15,55%"
"01.03.2009","40.926","38.180","42.680","35.722","35,34M","7,18%"
"01.02.2009","38.183","39.296","43.441","37.324","30,07M","-2,84%"
"01.01.2009","39.301","37.550","42.525","36.744","33,50M","4,66%"
"01.12.2008","37.550","36.596","40.498","33.798","32,44M","2,61%"
"01.11.2008","36.596","37.261","41.003","31.081","33,45M","-1,77%"
"01.10.2008","37.257","49.538","49.834","29.435","46,44M","-24,80%"
"01.09.2008","49.541","55.665","55.665","43.766","35,44M","-11,03%"
"01.08.2008","55.680","59.505","59.505","52.345","22,83M","-6,43%"
"01.07.2008","59.505","65.018","65.018","56.418","28,04M","-8,48%"
"01.06.2008","65.018","72.593","72.593","63.689","24,53M","-10,43%"
"01.05.2008","72.593","67.869","73.920","67.865","25,86M","6,96%"
"01.04.2008","67.868","60.965","68.038","60.965","21,48M","11,32%"
"01.03.2008","60.968","63.496","65.045","57.824","48,38M","-3,97%"
"01.02.2008","63.489","59.491","66.005","58.030","64,97M","6,72%"
"01.01.2008","59.490","63.885","63.906","53.011","75,01M","-6,88%"
"01.12.2007","63.886","63.018","66.529","59.414","52,39M","1,40%"
"01.11.2007","63.006","65.317","65.317","58.096","111,71M","-3,54%"
"01.10.2007","65.318","60.465","65.949","59.473","142,90M","8,03%"
"01.09.2007","60.465","54.641","61.054","52.321","106,33M","10,67%"
"01.08.2007","54.637","54.170","55.616","44.938","1,15B","0,84%"
"01.07.2007","54.183","54.396","58.293","52.627","1,06B","-0,39%"
"01.06.2007","54.392","52.271","55.003","50.885","2,01B","4,06%"
"01.05.2007","52.268","48.955","52.877","48.953","2,31B","6,77%"
"01.04.2007","48.956","45.805","49.856","45.225","2,79B","6,88%"
"01.03.2007","45.805","43.886","45.950","41.117","2,90B","4,36%"
"01.02.2007","43.892","44.642","46.752","42.571","2,32B","-1,68%"
"01.01.2007","44.642","44.476","45.388","41.266","2,66B","0,38%"
"01.12.2006","44.474","41.930","44.675","41.192","1,96B","6,06%"
"01.11.2006","41.932","39.279","42.308","39.279","3,41B","6,80%"
"01.10.2006","39.263","36.450","39.843","36.438","2,40B","7,72%"
"01.09.2006","36.449","36.232","37.739","34.127","2,39B","0,60%"
"01.08.2006","36.232","37.077","38.172","35.123","2,36B","-2,28%"
"01.07.2006","37.077","36.629","37.601","34.591","1,87B","1,22%"
"01.06.2006","36.631","36.531","38.437","32.057","2,54B","0,28%"
"01.05.2006","36.530","40.365","42.062","34.911","3,54B","-9,50%"
"01.04.2006","40.363","37.952","40.425","37.816","2,22B","6,35%"
"01.03.2006","37.952","38.610","39.395","36.085","2,79B","-1,71%"
"01.02.2006","38.610","38.382","38.978","35.891","2,61B","0,59%"
"01.01.2006","38.383","33.462","38.804","32.860","2,55B","14,73%"
"01.12.2005","33.456","31.921","33.837","31.921","2,29B","4,82%"
"01.11.2005","31.917","30.194","32.350","29.948","1,76B","5,71%"
"01.10.2005","30.194","31.582","32.052","28.161","2,55B","-4,40%"
"01.09.2005","31.584","28.044","31.584","27.799","2,43B","12,62%"
"01.08.2005","28.045","26.042","28.072","25.734","2,59B","7,69%"
"01.07.2005","26.042","25.051","26.306","24.192","2,47B","3,96%"
"01.06.2005","25.051","25.209","26.755","24.224","2,56B","-0,62%"
"01.05.2005","25.207","24.847","25.808","23.680","2,24B","1,46%"
"01.04.2005","24.844","26.612","27.178","24.154","2,55B","-6,64%"
"01.03.2005","26.611","28.135","29.584","25.761","2,78B","-5,43%"
"01.02.2005","28.139","24.392","28.778","24.073","2,32B","15,55%"
"01.01.2005","24.353","26.193","26.492","23.534","2,34B","-7,04%"
"01.12.2004","26.196","25.129","26.270","24.452","6,91B","4,25%"
"01.11.2004","25.128","23.050","25.160","22.941","5,29B","9,01%"
"01.10.2004","23.052","23.246","24.362","22.390","4,16B","-0,83%"
"01.09.2004","23.245","22.803","23.485","21.739","4,95B","1,94%"
"01.08.2004","22.803","22.342","23.381","21.178","5,41B","2,09%"
"01.07.2004","22.337","21.152","22.676","20.821","5,29B","5,62%"
"01.06.2004","21.149","19.545","21.183","19.177","5,34B","8,21%"
"01.05.2004","19.545","19.622","20.342","17.601","7,13B","-0,32%"
"01.04.2004","19.607","22.142","23.260","19.508","6,51B","-11,45%"
"01.03.2004","22.142","21.761","23.373","20.756","7,35B","1,78%"
"01.02.2004","21.755","21.842","23.374","20.092","6,29B","-0,44%"
"01.01.2004","21.851","22.233","24.518","21.649","8,28B","-1,73%"
"01.12.2003","22.236","20.184","22.310","20.184","6,87B","10,17%"
"01.11.2003","20.184","17.983","20.188","17.983","6,40B","12,24%"
"01.10.2003","17.982","16.010","18.660","16.010","8,46B","12,32%"
"01.09.2003","16.011","15.174","17.104","15.075","7,98B","5,51%"
"01.08.2003","15.174","13.579","15.252","12.757","6,49B","11,81%"
"01.07.2003","13.572","12.967","13.947","12.893","5,06B","4,62%"
"01.06.2003","12.973","13.441","14.072","12.895","6,41B","-3,35%"
"01.05.2003","13.422","12.565","13.565","12.542","7,09B","6,89%"
"01.04.2003","12.557","11.283","12.820","11.283","7,24B","11,38%"
"01.03.2003","11.274","10.263","11.421","10.104","5,27B","9,66%"
"01.02.2003","10.281","10.943","11.067","9.968","5,12B","-6,04%"
"01.01.2003","10.941","11.291","12.350","10.457","7,17B","-2,91%"
"01.12.2002","11.268","10.517","11.648","10.307","6,16B","7,23%"
"01.11.2002","10.509","10.172","10.519","9.569","5,41B","3,35%"
"01.10.2002","10.168","8.642","10.241","8.225","7,06B","17,92%"
"01.09.2002","8.623","10.383","10.477","8.352","5,25B","-16,95%"
"01.08.2002","10.382","9.782","10.604","9.017","7,78B","6,35%"
"01.07.2002","9.763","11.138","11.173","9.155","6,05B","-12,36%"
"01.06.2002","11.139","12.859","12.919","10.247","5,02B","-13,39%"
"01.05.2002","12.861","13.088","13.090","11.943","5,00B","-1,71%"
"01.04.2002","13.085","13.253","13.872","13.032","5,05B","-1,28%"
"01.03.2002","13.255","14.047","14.495","13.183","5,01B","-5,55%"
"01.02.2002","14.033","12.723","14.251","12.415","4,22B","10,31%"
"01.01.2002","12.721","13.586","14.413","12.301","5,18B","-6,31%"
"01.12.2001","13.578","12.914","13.969","12.809","5,29B","4,99%"
"01.11.2001","12.932","11.362","13.791","11.177","5,96B","13,79%"
"01.10.2001","11.365","10.633","11.924","9.985","5,00B","6,85%"
"01.09.2001","10.636","12.849","12.947","9.533","5,02B","-17,17%"
"01.08.2001","12.841","13.757","14.143","12.681","3,93B","-6,64%"
"01.07.2001","13.754","14.579","14.771","13.361","3,62B","-5,53%"
"01.06.2001","14.560","14.654","15.644","14.164","4,35B","-0,62%"
"01.05.2001","14.650","14.877","15.304","14.056","5,94B","-1,79%"
"01.04.2001","14.918","14.441","15.267","13.325","4,65B","3,32%"
"01.03.2001","14.438","15.891","16.813","13.761","4,45B","-9,14%"
"01.02.2001","15.891","17.670","17.673","15.558","3,44B","-10,08%"
"01.01.2001","17.673","15.242","18.023","15.174","6,63B","15,82%"
"01.12.2000","15.259","13.303","15.415","13.242","3,94B","14,84%"
"01.11.2000","13.287","14.858","15.191","13.287","3,22B","-10,63%"
"01.10.2000","14.867","15.950","16.404","13.571","4,69B","-6,66%"
"01.09.2000","15.928","17.360","17.716","15.657","4,74B","-8,18%"
"01.08.2000","17.347","16.475","17.926","16.073","6,16B","5,42%"
"01.07.2000","16.455","16.747","17.795","16.390","4,15B","-1,63%"
"01.06.2000","16.728","14.967","17.396","14.967","4,76B","11,84%"
"01.05.2000","14.957","15.596","15.944","13.556","6,27B","-3,74%"
"01.04.2000","15.538","17.826","17.826","14.029","11,65B","-12,81%"
"01.03.2000","17.820","17.668","19.047","16.922","13,61B","0,91%"
"01.02.2000","17.660","16.389","18.886","16.389","12,22B","7,76%"
"01.01.2000","16.388","17.098","18.099","15.350","11,01B","-4,12%"
"01.12.1999","17.092","13.784","17.105","13.556","13,31B","24,04%"
"01.11.1999","13.779","11.701","14.054","11.685","12,61B","17,77%"
"01.10.1999","11.700","11.105","11.826","10.796","10,69B","5,35%"
"01.09.1999","11.106","10.583","11.735","10.583","13,67B","5,12%"
"01.08.1999","10.565","10.441","10.726","9.579","13,34B","1,18%"
"01.07.1999","10.442","11.634","11.996","10.345","9,61B","-10,19%"
"01.06.1999","11.627","11.090","12.118","10.742","11,81B","4,84%"
